feature,group,scope,n,wins,losses,net,expectancy,pf,win_rate,average_winner,average_loser,max_losing_streak,realized_balance_dd_pct,net_ex_top5
weekday,4,2026-08,21,13,8,50.73,2.415714285714286,2.071836044791887,0.6190476190476191,7.5430769230769235,-5.91625,3,0.318494691424835,6.52
utc_hour,1,ALL,21,12,9,26.61,1.2671428571428573,1.3715442613795032,0.5714285714285714,8.185833333333333,-7.9577777777777765,3,0.6632285919884923,-19.4
utc_hour,1,BUY,13,10,3,57.11,4.393076923076924,3.4056444818871108,0.7692307692307693,8.084999999999999,-7.913333333333333,1,0.16479999999999564,12.34
utc_hour,1,SELL,8,2,6,-30.5,-3.8124999999999996,0.3629908103592314,0.25,8.69,-7.98,3,0.6656272487407088,-47.88
utc_hour,1,2026-06,4,1,3,-14.96,-3.7399999999999993,0.3777038269550749,0.25,9.08,-8.013333333333334,2,0.3550011993283805,-24.04
utc_hour,1,2026-07,7,3,4,-8.54,-1.2199999999999995,0.7408980582524273,0.42857142857142855,8.14,-8.24,2,0.31554183325811286,-32.96
utc_hour,1,2026-08,10,8,2,50.11,5.010999999999999,4.42749658002736,0.8,8.09125,-7.3100000000000005,1,0.1530294492719195,6.72
utc_hour,10,ALL,20,15,5,66.76,3.338,3.0322678843226787,0.75,6.640666666666666,-6.5699999999999985,2,0.2890380099882038,26.49
utc_hour,10,BUY,8,6,2,21.64,2.7050000000000005,2.6053412462908017,0.75,5.853333333333334,-6.74,2,0.26893680184665564,-8.56
utc_hour,10,SELL,12,9,3,45.12,3.760000000000001,3.329375322663914,0.75,7.165555555555557,-6.456666666666666,2,0.2617644835720878,5.11
utc_hour,10,2026-06,8,6,2,33.94,4.242500000000001,3.8236272878535775,0.75,7.660000000000001,-6.01,1,0.12337707491034873,-6.33
utc_hour,10,2026-07,7,4,3,2.79,0.39857142857142885,1.1339414306289008,0.5714285714285714,5.905,-6.9433333333333325,2,0.29100000000000364,-20.83
utc_hour,10,2026-08,5,5,0,30.03,6.006,,1.0,6.006,,0,0.0,0.0
utc_hour,11,ALL,13,9,4,41.0,3.1538461538461537,2.699129714048902,0.6923076923076923,7.236666666666666,-6.0325,2,0.2697571787812166,-0.46
utc_hour,11,BUY,6,4,2,12.56,2.0933333333333337,1.9450714823175321,0.6666666666666666,6.4625,-6.645,1,0.15975812619693786,-13.29
utc_hour,11,SELL,7,5,2,28.44,4.062857142857142,3.623616236162362,0.7142857142857143,7.856,-5.42,1,0.1108925556652699,-10.84
utc_hour,11,2026-06,4,4,0,30.45,7.612499999999999,,1.0,7.612499999999999,,0,0.0,0.0
